DIRECTOR,COMPANY, PERCENTAGE OF SHARES
TAN KAI SENG,IGB CORPORATION BHD,0.01
TAN KHENG HWEE,ORIENTAL HOLDINGS BHD,0.03
TAN KOK GUAN,LPI CAPITAL BHD,
TAN KONG CHANG,KOSSAN RUBBER INDUSTRIES BHD,
TAN KONG KHOON,HONG LEONG BANK BHD,
TAN LEI CHENG,IGB CORPORATION BHD,0.17
TAN LEI CHENG,IGB REAL ESTATE INVESTMENT TRUST,0.05
TAN LYE CHONG,GAS MALAYSIA BHD,
TAN SEE LENG,IHH HEALTHCARE BHD,0.23
TAN SIEW BEE,CAPITALAND MALAYSIA MALL TRUST ,20
TAN TAT WAI,MAYBANK BANKING BHD,
TAN TAT WAI,SHANGRI LA HOTELS M BHD,
TAN THIAM CHIA,BERJAYA LAND BHD,0.001
TAN YEE SENG,IGB CORPORATION BHD,
TAN YEE SENG,IGB REAL ESTATE INVESTMENT TRUST,0.02
TAN YEW JIN,SHANGRI LA HOTELS M BHD,
TAN YUEN FAH,ALLIANCE FINANCIAL GROUP BHD,
TANG TIONG ING,SARAWAK OIL PALMS BHD,0.01
TANG WING CHEW,PUBLIC BANK BHD,
TAY AH LEK,PUBLIC BANK BHD,0.17
TEE CHOON YEOW,LPI CAPITAL BHD,0.29
TEH HONG PIOW,LPI CAPITAL BHD,1.42
TEH HONG PIOW,PUBLIC BANK BHD,0.64
TEH KEAN MING,IJM CORPORATION BHD,0.007
TEH KEAN MING,IJM LAND BHD,
TEH KEAN MING,IJM PLANTATIONS BHD,0.005
TEH KIM TEH,QL RESOURCES BHD,
TEO CHIANG LIANG,RHB CAPITAL BHD,
TEO ENG SIONG,GENTING M BHD,0.0095
TEOW LEONG SENG,SP SETIA BHD GROUP,
TERENCE TEO CHEE SENG,UOA DEVELOPMENT BHD,
THAM LAI HENG,BERJAYA LAND BHD,
THOMAS MUN LUNG LEE,ALLIANCE FINANCIAL GROUP BHD,
THONG YAW HONG,BATU KAWAN BHD,
THONG YAW HONG,KUALA LUMPUR KEPONG BHD,
THONG YAW HONG,LPI CAPITAL BHD,0.2
THONG YAW HONG,PUBLIC BANK BHD,0.22
TINA CHAN LAI YIN,IGB CORPORATION BHD,
TONG SIEW BEE,TOP GLOVE CORPORATION BHD,2.23
TONG SIEW CHOO,KOSSAN RUBBER INDUSTRIES BHD,0.01
TONG SING ENG,FRASER AND NEAVE HOLDINGS BHD,
TONY TAN,IGB CORPORATION BHD,
TOO HING YEAP,KECK SENG M BHD,
TOR OLAV TROIM,SAPURAKENCANA PETROLEUM BHD,
TORE JOHNSEN,DIGI DOT COM BHD,
TOSHIHIRO OZAWA,AEON COMPANY M BHD,
TUANKU JAAFAR ,LAFARGE M BHD,
UZMA QAISER BUTT,NESTLE M BHD,
VIJEYARATNAM V THAMATHORAM PILLAY,MAGNUM BHD,0.099
VIMALA V R MENON,PETRONAS CHEMICALS GROUP BHD,
VIMALA V R MENON,PETRONAS DAGANGAN BHD,
VINCENT NG WEI CHYUN,AEON COMPANY M BHD,
VIVIENNE CHENG CHI FAN,BERJAYA CORPORATION BHD,0.0003
VOON TIN YOW,SP SETIA BHD GROUP,0.001
WAN ABDUL AZIN WAN ABDULLAH,PNB,
WAN ABDUL AZIZ WAN ABDULLAH,BINTULUPORT HOLDINGS BHD,
WAN ABDUL AZIZ WAN ABDULLAH,FELDA GLOBAL VENTURES HOLDINGS BHD,
WAN ABDUL AZIZ WAN ABDULLAH,MALAYSIA AIRPORTS HOLDINGS BHD,
WAN ABDUL AZIZ WAN ABDULLAH,SIME DARBY BHD,
WAN ABDUL RAHMAN WAN YAACOB,MMC CORPORATION BHD,
WAN KAMARUZAMAN WAN AHMAD,UMW HOLDINGS BHD,
WAN KAMARUZAMAN WAN AHMAD ,KWAP,
WAN MOHD ZAHID MOHD NOORDIN,SP SETIA BHD GROUP,
WAN MOHD ZAHID MOHD NOORDIN,SIME DARBY BHD,
WAN ZULKIFLEE WAN ARIFFIN,PETRONAS CHEMICALS GROUP BHD,
WAN ZULKIFLEE WAN ARIFFIN,PETRONAS DAGANGAN BHD,
WATANAN PETERSIK,CIMB GROUP HOLDINGS BHD,
WILLIAM MITCHELL,PURE CIRCLE ,
WILLLIAM H J CHENG,PARKSON HOLDINGS BHD,20.26
WILLY SHEE PING YAH,SUNWAY REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
WONG CHIN MUN,SUNWAY BHD,
WONG NGIE YONG,SARAWAK OIL PALMS BHD,0.0002
WONG PING ENG,DAYANG ENTERPRISE HOLDINGS BHD,
WONG PUAN WAH ,MAGNUM BHD,0.004
WONG SEE WAH,IJM PLANTATIONS BHD,
WONG SENG LEE,KULIM M BHD,
YAACOB  MAHMUD,AEON COMPANY M BHD,
YAACOB MAT ZAIN ,MAH SING GROUP BHD,
YAHAYA ADB JABAR,FELDA GLOBAL VENTURES HOLDINGS BHD,
YAHYA AWANG,KPJ HEALTHCARE BHD,
YAHYA ISMAIL,YTL CORPORATION BHD,0.01
YAHYA ISMAIL,YTL POWER INTERNATIONAL BHD,0.004
YAM KONG CHOY,MALAYSIA AIRPORTS HOLDINGS BHD,
YAM KONG CHOY,SUNWAY BHD,0.003
YANTI IRWANI ABU HASSAN,GAS MALAYSIA BHD,
YAP YIN KEE,NESTLE M BHD,
YASLI MOHAMED YUSOFF,AIR ASIA X BHD,0.42
YASMIN ALADAD KHAN,DIGI DOT COM BHD,
YASUSHI SAKAKIBARA,GAS MALAYSIA BHD,
YEE YANG CHIEN,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BHD,
YEOH CHIN KEE,LPI CAPITAL BHD,0.08
YEOH CHIN KEE,PUBLIC BANK BHD,0.003
YEOH CHONG SWEE,IGB CORPORATION BHD,
YEOH ENG KHOON,BATU KAWAN BHD,0.08
YEOH ENG KHOON,KUALA LUMPUR KEPONG BHD,
YEOH SEOK HONG,YTL CORPORATION BHD,0.23
YEOH SEOK HONG,YTL POWER INTERNATIONAL BHD,0.39
YEOH SEOK KIAN,YTL CORPORATION BHD,0.05
YEOH SEOK KIAN,YTL POWER INTERNATIONAL BHD,0.09
YEOH SOO KENG,YTL CORPORATION BHD,0.01
YEOH SOO KENG,YTL POWER INTERNATIONAL BHD,0.12
YEOH SOO MIN,YTL CORPORATION BHD,0.01
YEOH SOO MIN,YTL POWER INTERNATIONAL BHD,0.18
YEOH TIONG LAY,YTL CORPORATION BHD,48.65
YEOH TIONG LAY,YTL CORPORATION BHD,49.08
YEOH TIONG LAY,YTL POWER INTERNATIONAL BHD,0.29
YEOW KHENG CHEW,SAPURAKENCANA PETROLEUM BHD,0.37
YEOW TECK CHAI,PARKSON HOLDINGS BHD,
YONG NYAN CHOI,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BHD,
YONG POH KON,NESTLE M BHD,
YONG POH KON,EPF,
YOONG FOOK NGIAN,KPJ HEALTHCARE BHD,0.04
YOSHIHIRO KAYA,AEON COMPANY M BHD,
YUKIYO KOMATSU,AEON COMPANY M BHD,
YUNUS KAMARUDDIN,KECK SENG M BHD,
YUSA HASSAN,GAS MALAYSIA BHD,
YUSA HASSAN,PETRONAS GAS BHD,
YUSLI MOHAMED YUSOFF,WESTPORTS M SDN BHD,0.03
YUSOF AHMAD SHAHRUDDIN,DAYANG ENTERPRISE HOLDINGS BHD,7.99
YUSOF BASIRAN,SIME DARBY BHD,
YVONNE CHIA,ASTRO M HOLDINGS BHD,
ZAILNUL ARIFF HUSSAIN,GAMUDA BHD,0.01
ZAINAB MOHAMED,PARKSON HOLDINGS BHD,
ZAINAB MOHD SALLEH,DIALOG GROUP BHD,0.1
ZAINAH MUSTAFA,KPJ HEALTHCARE BHD,
ZAINAL ABIDIN  JAMAL,SP SETIA BHD GROUP,
ZAINAL ABIDIN JAMAL,MAYBANK BANKING BHD,
ZAINAL ABIDIN PUTIH,CIMB GROUP HOLDINGS BHD,0.001
ZAINAL ABIDIN PUTIH,DUTCH LADY MILK INDUSTRIES BHD,
ZAINAL ABIDIN PUTIH,TENAGA NASIONAL BHD,
ZAINAL ISMAIL,MSM MALAYSIA HOLDINGS BHD,
ZAINAL RASHID MAHMOOD,QL RESOURCES BHD,0.32
ZAINOL ANWAR JAMALULLAIL,NESTLE M BHD,
ZAINUL ABIDIN AHMAD,GAS MALAYSIA BHD,
ZAINUN AISHAH AHMAD,BRITISH AMERICAN TOBACCO M BHD,
ZAINUN NUR ABDUL RAUF,NESTLE M BHD,
ZAITON AHMAD,TELEKOM M BHD,
ZAITON MOHD HASSAN,BIMB HOLDINGS BHD,
ZAITON MOHD HASSAN,SIME DARBY BHD,
ZAKARIA KASAH,BINTULUPORT HOLDINGS BHD,
ZAKI AZMI,ASTRO M HOLDINGS BHD,
ZAKI AZMI,SP SETIA BHD GROUP,
ZALEKHA HASSAN,MALAYSIA AIRPORTS HOLDINGS BHD,
ZALEKHA HASSAN,TELEKOM M BHD,
ZAMZAMZAIRANI MOHD ISA,TELEKOM M BHD,
ZULKIFLI IBRAHIM,KPJ HEALTHCARE BHD,
ZULKIFLI IBRAHIM,KULIM M BHD,
ZURAINAH MUSA,BERJAYA CORPORATION BHD,
