DIRECTOR,COMPANY, PERCENTAGE OF SHARES
DAVID LAU NAI PEK,MALAYSIAN AIRLINE SYSTEM BHD,
DAVID WONG CHIN HUAT,CAPITALAND MALAYSIA MALL TRUST ,
DESMOND LIM SIEW CHOON,PAVILION REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
DICKSON TAN YONG LOONG,BERJAYA CORPORATION BHD,
DICKSON TAN YONG LOONG,BERJAYA LAND BHD,
DICKSON TAN YONG LOONG,BERJAYA SPORTS TOTO BHD,
DOMINIQUE DE SORAS,MALAYSIA MARINE AND HEAVY ENGINEERING HOLDINGS BHD,
DONG SOO KIM,PETRONAS CHEMICALS GROUP BHD,
EDWARD CHONG SIN KIAT,IJM LAND BHD,
EDWARD LEE MING FOO,HAP SENG CONSOLIDATED BHD,
EDWARD MCSHANE,GUINNESS ANCHOR BHD,
ELEENA AZLAN SHAH,GAMUDA BHD,0.01
ELIZABETH TAN HUI NING,IGB REAL ESTATE INVESTMENT TRUST,0.02
ELVIN BERTY LUKE FERNANDEZ,SUNWAY REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,0.03
ERRY RIYANA HARDJAPAMEKAS,MAYBANK BANKING BHD,
ESHAH MEOR SULEIMAN,MALAYSIA AIRPORTS HOLDINGS BHD,
ESHAH MEOR SULEIMAN,MALAYSIAN AIRLINE SYSTEM BHD,
ESHAH MEOR SULEIMAN,POS MALAYSIA BHD,
ESHAH MEOR SULEIMAN,TELEKOM M BHD,
ETSUKO ETO,AEON COMPANY M BHD,
FAHAD HUSSAIN S MUSHAYT,MAXIS BHD,
FAISAL SIRAJ,RHB CAPITAL BHD,
FAIZOULL AHMAD,MSM MALAYSIA HOLDINGS BHD,
FAM LEE EE,AIR ASIA X BHD,0.003
FAM LEE EE,AIRASIA BHD,
FATEH ISKANDAR MOHAMED MANSOR,MEDIA PRIMA BHD,
FATEH ISKANDAR MOHAMED MANSOR,TELEKOM M BHD,
FAUZIAH YAACOB,TELEKOM M BHD,
FAUZIAH YAACOB,LTAT,
FINA NORHIZAH BAHARU ZAMAN,UMW OIL AND GAS CORPORATION BHD,
FONG JOO CHUNG,BINTULUPORT HOLDINGS BHD,
FONG TSHU KWONG,SARAWAK OIL PALMS BHD,
FONG YOO KAW,SARAWAK OIL PALMS BHD,
FOO SWEE LENG,DUTCH LADY MILK INDUSTRIES BHD,
FOO WEI HOONG,CAPITALAND MALAYSIA MALL TRUST ,
FRANCIS TAN LEH KIAH,BOUSTEAD HOLDINGS BHD,
FRANCIS YEOH SOCK PING,YTL POWER INTERNATIONAL BHD,0.01
